;Item;Patrimônio;Sit. Física;Valor de Aquisição;Valor Bruto Atual;Descrição
;364;00008842;INSERVÍVEL;33600;33600;"SERVIDOR DE ARMAZENAMENTO DE DADOS - DESCRICAO: UNIDADE DE BACKUP TAPE LIBRARY - MARCA: IBM - MODELO: TS3200 - SERIE: S78P4319
"
;365;00008848;INSERVÍVEL;5227;5227;"MICROCOMPUTADOR TIPO ESTAÇÃO DE TRABALHO - DESCRICAO: 4GB. - MARCA: HP - MODELO: Z600 - SERIE: BRG135FB4L
"
;366;00008853;INSERVÍVEL;1913;765;"CENTRAL DE AR CONDICIONADO - DESCRICAO: 30 MIL BTU'S. 220V. UN. EXTERNA: H30ABC051101100065. - MARCA: RHEEM - MODELO: RB1HW24HP2BE - SERIE: H30ABE051101100661
"
;367;00008867;INSERVÍVEL;1322;1322;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. CABO USB. - MARCA: SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIB700475L
"
;368;00008868;INSERVÍVEL;1322;1322;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. CABO USB. - MARCA: SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAKB400572K
"
;369;00008875;INSERVÍVEL;1322;1322;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. CABO USB. - MARCA: SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAAB800130R
"
;370;00008877;INSERVÍVEL;1322;1322;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. CABO USB. - MARCA: SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIB700443P
"
;371;00008880;INSERVÍVEL;1322;1322;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. CABO USB. - MARCA: SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIB700418B
"
;372;00008883;INSERVÍVEL;799;799;"REFRIGERADOR TIPO RESIDENCIAL - DESCRICAO: 01 PORTA, 240 L, COR BRANCA - MARCA: ELECTROLUX - MODELO: RE28 - SERIE: 14001355
"
;373;00008898;INSERVÍVEL;1913;779,35;"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, 30.000 BTUS, 220V. - MARCA: RHEEM - MODELO: RB1HW30AC2BS - SERIE: H30ABE051101100398
"
;374;00008904;INSERVÍVEL;537,75;537,75;"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA. - MARCA: FLEXFORM - MODELO: PLUS
"
;375;00008913;INSERVÍVEL;537,75;537,75;"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA. - MARCA: FLEXFORM - MODELO: PLUS
"
;376;00008927;INSERVÍVEL;537,75;537,75;"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA. - MARCA: FLEXFORM - MODELO: PLUS
"
;377;00008978;INSERVÍVEL;537,75;537,75;"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA. - MARCA: FLEXFORM - MODELO: PLUS
"
;378;00009030;INSERVÍVEL;939;939;"IMPRESSORA TÉRMICA - SERIE: 41J113702382 - MARCA: ZEBRA - MODELO: TLP 2844
"
;379;00009033;INSERVÍVEL;939;939;"IMPRESSORA TÉRMICA - SERIE: 41J113702381 - MARCA: ZEBRA - MODELO: TLP 2844
"
;380;00009036;INSERVÍVEL;766;766;"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT. CICLO FRIO. 220V. UN. EXT.: 2712ECBA206. - MARCA: ELECTROLUX - MODELO: PI12F - SERIE: 2712ICBA206
"
;381;00009037;INSERVÍVEL;766;766;"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT. 12 MIL BTU'S. CICLO FRIO. 220V. UN. EXT.: 2712ECBA206 - MARCA: ELECTROLUX - MODELO: PI12F - SERIE: 2712ICBA206
"
;382;00009046;INSERVÍVEL;1960;1960;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I3-2330M (2,20GHZ), TELA LED 14"" WIDESCREEN, HD 320 GB STA-2 7200RPM, MEMÓRIA 2GB (DDR3) - MARCA: HP - MODELO: PROBOOK 4430S - SERIE: BRG207F1F2
"
;383;00009051;INSERVÍVEL;752,35;752,35;"IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA. - MARCA: SAMSUNG - MODELO: ML-3710ND - SERIE: Z5HABAGBC02493X
"
;384;00009053;INSERVÍVEL;752,35;752,35;"IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA. - MARCA: SAMSUNG - MODELO: ML-3710ND - SERIE: Z5HABAGBC02335P
"
;385;00009059;INSERVÍVEL;752,35;752,35;"IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA. - MARCA: SAMSUNG - MODELO: ML-3710ND
"
;386;00009104;INSERVÍVEL;946;946;"IMPRESSORA MATRICIAL - MARCA: EPSON - MODELO: LQ-590 - SERIE: FSRY032967
"
;387;00009148;INSERVÍVEL;140,58;61,83;"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA. - MARCA: TRAMONTINA - MODELO: BALI
"
;388;00009158;INSERVÍVEL;140,58;61,83;"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA. - MARCA: TRAMONTINA - MODELO: BALI
"
;389;00009160;INSERVÍVEL;140,58;61,83;"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA. - MARCA: TRAMONTINA - MODELO: BALI
"
;390;00009161;INSERVÍVEL;140,58;61,83;"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA. - MARCA: TRAMONTINA - MODELO: BALI
"
;391;00009166;INSERVÍVEL;309;135;"MICROFONE SEM FIO - DESCRICAO: DE MÃO. ALIMENTAÇÃO COM 2 PILHAS AA. UHF. - MARCA: LYCO - MODELO: UH01M - SERIE: UH01M12110000322
"
;392;00009170;INSERVÍVEL;309;135;"MICROFONE SEM FIO - DESCRICAO: DE MÃO. ALIMENTAÇÃO COM 2 PILHAS AA. UHF. - MARCA: LYCO - MODELO: UH01M - SERIE: UH01M12110001086
"
;393;00009172;INSERVÍVEL;309;135;"MICROFONE SEM FIO - DESCRICAO: DE MÃO. ALIMENTAÇÃO COM 2 PILHAS AA. UHF. - MARCA: LYCO - MODELO: UH01M - SERIE: UH01M12110000709
"
;394;00009174;INSERVÍVEL;309;135;"MICROFONE SEM FIO - DESCRICAO: DE MÃO. ALIMENTAÇÃO COM 2 PILHAS AA. UHF. - MARCA: LYCO - MODELO: UH01M - SERIE: UH01M12110000939
"
;395;00009177;INSERVÍVEL;309;135;"MICROFONE SEM FIO - DESCRICAO: DE MÃO. ALIMENTAÇÃO COM 2 PILHAS AA. UHF. - MARCA: LYCO - MODELO: UH01M - SERIE: UH01M12110000587
"
;396;00009181;INSERVÍVEL;318,82;318,82;"NO BREAK . - MARCA: RAGTECH - MODELO: IFH 1300 - SERIE: 12130028
"
;397;00009182;INSERVÍVEL;318,82;318,82;"NO BREAK . - MARCA: RAGTECH - MODELO: IFH 1300 - SERIE: 12130004
"
;398;00009183;INSERVÍVEL;318,82;318,82;"NO BREAK . - MARCA: RAGTECH - MODELO: IFH 1300 - SERIE: 12130015
"
;399;00009186;INSERVÍVEL;318,82;318,82;"NO BREAK . - MARCA: RAGTECH - MODELO: IFH 1300 - SERIE: 12130012
"
;400;00009189;INSERVÍVEL;318,82;318,82;"NO BREAK . - MARCA: RAGTECH - MODELO: IFH 1300 - SERIE: 12130029
"
;401;00009191;INSERVÍVEL;318,82;318,82;"NO BREAK . - MARCA: RAGTECH - MODELO: IFH 1300 - SERIE: 12130018
"
;402;00009215;INSERVÍVEL;102;102;"HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - MARCA: EARSET - MODELO: K65/X19 - SERIE: A458802
"
;403;00009222;INSERVÍVEL;102;102;"HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - MARCA: EARSET - MODELO: K65/X19 - SERIE: A458785
"
;404;00009224;INSERVÍVEL;1322;1322;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL - MARCA: SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAKB400750T
"
;405;00009229;INSERVÍVEL;1322;1322;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL - MARCA: SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAKB400911D
"
;406;00009234;INSERVÍVEL;1362,36;1362,36;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL - MARCA: SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIBC00704J
"
;407;00009237;INSERVÍVEL;1362,36;1362,36;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL - MARCA: SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIBC00768T
"
;408;00009239;INSERVÍVEL;1362,36;1362,36;"IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL - MARCA: SAMSUNG - MODELO: SCX-5637FR - SERIE: Z5W1BAIBC00610E
"
;409;00009243;INSERVÍVEL;894;397,46;"MESA PARA AUDIÊNCIA - DESCRICAO: OVAL. EM MELAMÍNICO. MEDIDAS 1500CM X 2000CM.
"
;410;00009251;INSERVÍVEL;1913;879,8;"CENTRAL DE AR CONDICIONADO - DESCRICAO: 30 MIL BTU'S. SPLIT. 220V. UN. EXT.: 1580949 - MARCA: ELGIN - MODELO: SRFI-30000-2 - SERIE: 1576978
"
;411;00009257;INSERVÍVEL;1913;879,8;"CENTRAL DE AR CONDICIONADO - DESCRICAO: 30 MIL BTU'S. SPLIT. 220V. UN. EXT.: 1580814 - MARCA: ELGIN - MODELO: SRFI-30000-2 - SERIE: 1576979
"
;412;00009264;INSERVÍVEL;680;680;"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 9 MIL BTU'S. 200V. UN. EXT. 20903006 - MARCA: ELECTROLUX - SERIE: 20904349
"
;413;00009266;INSERVÍVEL;680;680;"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 9 MIL BTU'S. 200V. UN. EXT. 20903020 - MARCA: ELECTROLUX - SERIE: 20904745
"
;414;00009267;INSERVÍVEL;680;680;"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 9 MIL BTU'S. 200V. UN. EXT. 12006523 - MARCA: ELECTROLUX - SERIE: 20904749
"
;415;00009280;INSERVÍVEL;508,67;233,63;"CAIXA DE SOM AMPLIFICADA - MARCA: HAYONIC - MODELO: NEO 400 USB - DESCRICAO: COM ENTRADA USB. 60W DE POTÊNCIA.
"
;416;00009294;INSERVÍVEL;2000;2000;"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT. 30 MIL BTU'S. 220V. U.EX.: C101382843411A14130095 - MARCA: MIDEA - MODELO: MSE1-30CR - SERIE: C1011382841811A14150197
"
;417;00009296;INSERVÍVEL;2000;2000;"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT. 30 MIL BTU'S. 220V. U.EX.: C101382843411A14130094 - MARCA: MIDEA - MODELO: MSE1-30CR - SERIE: C1011382841811A14150189
"
;418;00009311;INSERVÍVEL;3200;1496;"CENTRAL DE AR CONDICIONADO - DESCRICAO: 60 MIL BTU'S. TENSÃO 220V. U. EXT.: 21000180 - MARCA: ELECTROLUX - MODELO: CFI60 - SERIE: 21600124
"
;419;00009317;INSERVÍVEL;460;460;"APARELHO DE FAX - DESCRICAO: PARA PAPEL COMUM. COM IDENTIFICADOR DE CHAMADAS. - MARCA: BROTHER - MODELO: FAX-575 - SERIE: U61361MOK971506
"
;420;00009318;INSERVÍVEL;460;460;"APARELHO DE FAX - DESCRICAO: PARA PAPEL COMUM. COM IDENTIFICADOR DE CHAMADAS. - MARCA: BROTHER - MODELO: FAX-575 - SERIE: U61361L8K150711
"
;421;00009320;INSERVÍVEL;460;460;"APARELHO DE FAX - DESCRICAO: PARA PAPEL COMUM. COM IDENTIFICADOR DE CHAMADAS. - MARCA: BROTHER - MODELO: FAX-575 - SERIE: U61361MOK971353
"
;422;00009458;INSERVÍVEL;1095;1095;"MICROCOMPUTADOR PORTATIL (NETBOOK) COM PROCESSADOR - DESCRICAO: INTEL ATOM N570 1.66MHZ, MEMÓRIA: 2GB DDR3, HD: 500GB, TELA:10.1"", WEBCAM E MICROFONE EMBUTIDOS. - MARCA: ACER - MODELO: ASPIRE ONE D257 - SERIE: 13002814676
"
;423;00009471;INSERVÍVEL;1095;1095;"MICROCOMPUTADOR PORTATIL (NETBOOK) COM PROCESSADOR - DESCRICAO: INTEL ATOM N570 1.66MHZ, MEMÓRIA: 2GB DDR3, HD: 500GB, TELA:10.1"", WEBCAM E MICROFONE EMBUTIDOS. - MARCA: ACER - MODELO: ASPIRE ONE D257 - SERIE: 13002037176
"
;424;00009484;INSERVÍVEL;1425;1425;"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: TIPO JANELA. 21 MIL BTU'S. 220V. - MARCA: SPRINGER - MODELO: SILENTIA - SERIE: 1907B05312
"
;425;00009485;INSERVÍVEL;1425;1425;"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: TIPO JANELA. 21 MIL BTU'S. 220V. - MARCA: SPRINGER - MODELO: SILENTIA - SERIE: 1910B13675
"
;426;00009486;INSERVÍVEL;1425;1425;"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: TIPO JANELA. 21 MIL BTU'S. 220V. - MARCA: SPRINGER - MODELO: SILENTIA - SERIE: 1907B05354
"
;427;00009491;INSERVÍVEL;1860;1860;"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 30 MIL BTU'S. 220V. - MARCA: SPRINGER - MODELO: SILENTIA - SERIE: 4412B08570
"
;428;00009492;INSERVÍVEL;1860;1860;"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 30 MIL BTU'S. 220V. - MARCA: SPRINGER - MODELO: SILENTIA - SERIE: 4412B07763
"
;429;00009495;INSERVÍVEL;1860;1860;"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 30 MIL BTU'S. 220V. - MARCA: SPRINGER - MODELO: SILENTIA - SERIE: 4412B08569
"
;430;00009502;INSERVÍVEL;2720;2720;"RACK PARA SERVIDOR
"
;431;00009503;INSERVÍVEL;3620;3620;"MONITOR DE TEMPERATURA PARA DATACENTER - MARCA: PRODIGITAL - SERIE: 140230 - DESCRICAO: DISPLAY DIGITAL. BIVOLT.
"
;432;00009536;INSERVÍVEL;475;475;"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO. COR PRETA. - MARCA: FLEXFORM - MODELO: INFO CENTER
"
;433;00009605;INSERVÍVEL;350;186,94;"BEBEDOURO DE AGUA EM AÇO INOX. - DESCRICAO: TIPO COLUNA. - MARCA: ESMALTEC - MODELO: EGC35B - SERIE: 12051406763896
"
;434;00009607;INSERVÍVEL;2000;1070;"CENTRAL DE AR CONDICIONADO - DESCRICAO: 30 MIL BTU'S. TENSÃO: 220V. CICLO FRIO. UNIDADE EXTERNA: 30291737. - MARCA: ELECTROLUX - MODELO: TI30F/TE30F - SERIE: 30290168
"
;435;00009618;INSERVÍVEL;2000;1070;"CENTRAL DE AR CONDICIONADO - DESCRICAO: 30 MIL BTU'S. TENSÃO: 220V. CICLO FRIO. U. EXT.: 31292583 - MARCA: ELECTROLUX - MODELO: TI30F/TE30F - SERIE: 31292218
"
;436;00009628;INSERVÍVEL;219;219;"MESA LINEAR - DESCRICAO: EM MDP 25MM, COR CINZA, MEDINDO 1200 X 600 X 760 MM (L X P X A). - MARCA: MD MOBILE
"
;437;00009631;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;438;00009633;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;439;00009636;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;440;00009642;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;441;00009645;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;442;00009646;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;443;00009647;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;444;00009648;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;445;00009649;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;446;00009662;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;447;00009663;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;448;00009664;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;449;00009666;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;450;00009667;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;451;00009669;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;452;00009688;INSERVÍVEL;366;198,25;"BALCAO DE ATENDIMENTO LINEAR - DESCRICAO: EM MDF. COR ARGILA.
"
;453;00009706;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;454;00009732;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;455;00009747;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;456;00009777;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;457;00009779;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;458;00009782;INSERVÍVEL;140;140;"APARELHO TELEFONICO SEM FIO - DESCRICAO: VISOR LCD. COM IDENTIFICADOR DE CHAMADAS. - MARCA: GIGASET - MODELO: A390 - SERIE: 131950
"
;459;00009785;INSERVÍVEL;1299,43;1299,43;"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 18.000 BUTS. 220V. COR BRANCA. UN. EXT.: K18101001415010020093 - MARCA: KOMECO - MODELO: KOS 18 FC2HX - SERIE: K18101001391010030143
"
;460;00009787;INSERVÍVEL;1299,43;1299,43;"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 18.000 BUTS. 220V. COR BRANCA. UN. EXT.: K18101001415010020065 - MARCA: KOMECO - MODELO: KOS 18 FC2HX - SERIE: K18101001439010030025
"
;461;00009792;INSERVÍVEL;1299,43;1299,43;"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 18.000 BUTS. 220V. COR BRANCA. UN. EXT.: K18101001415010020027 - MARCA: KOMECO - MODELO: KOS 18 FC2HX - SERIE: K18101001439010030026
"
;462;00009811;INSERVÍVEL;2000;1130;"CONDICIONADOR DE AR PORTATIL - DESCRICAO: CAPACIDADE DE 12.000 BTU/H, TENSÃO 127V,  GÁS ECOLÓGICO R410A, COM PAINEL FRONTAL RETRÁTIL. - MARCA: SPRINGER - MODELO: MPN-12CRV1 - SERIE: D205019880112A16200046
"
;463;00009812;INSERVÍVEL;2000;1130;"CONDICIONADOR DE AR PORTATIL - DESCRICAO: CAPACIDADE DE 12.000 BTU/H, TENSÃO 127V,  GÁS ECOLÓGICO R410A, COM PAINEL FRONTAL RETRÁTIL. - MARCA: SPRINGER - MODELO: MPN-12CRV1 - SERIE: D205019880112A16201872
"
;464;00009813;INSERVÍVEL;2000;1130;"CONDICIONADOR DE AR PORTATIL - DESCRICAO: CAPACIDADE DE 12.000 BTU/H, TENSÃO 127V,  GÁS ECOLÓGICO R410A, COM PAINEL FRONTAL RETRÁTIL. - MARCA: SPRINGER - MODELO: MPN-12CRV1 - SERIE: D205019880112A16200247
"
;465;00009815;INSERVÍVEL;327;327;"NO BREAK . - DESCRICAO: 1450VA. COR PRETA. - MARCA: RCG - MODELO: ENERGETIC POWER MC
"
;466;00009824;INSERVÍVEL;327;327;"NO BREAK . - DESCRICAO: 1450VA. COR PRETA. - MARCA: RCG - MODELO: ENERGETIC POWER MC
"
;467;00009825;INSERVÍVEL;327;327;"NO BREAK . - DESCRICAO: 1450VA. COR PRETA. - MARCA: RCG - MODELO: ENERGETIC POWER MC
"
;468;00009826;INSERVÍVEL;327;327;"NO BREAK . - DESCRICAO: 1450VA. COR PRETA. - MARCA: RCG - MODELO: ENERGETIC POWER MC
"
;469;00009832;INSERVÍVEL;327;327;"NO BREAK . - DESCRICAO: 1450VA. COR PRETA. - MARCA: RCG - MODELO: ENERGETIC POWER MC
"
;470;00009834;INSERVÍVEL;327;327;"NO BREAK . - DESCRICAO: 1450VA. COR PRETA. - MARCA: RCG - MODELO: ENERGETIC POWER MC
"
;471;00009835;INSERVÍVEL;327;327;"NO BREAK . - DESCRICAO: 1450VA. COR PRETA. - MARCA: RCG - MODELO: ENERGETIC POWER MC
"
;472;00009836;INSERVÍVEL;327;327;"NO BREAK . - DESCRICAO: 1450VA. COR PRETA. - MARCA: RCG - MODELO: ENERGETIC POWER MC
"
;473;00009839;INSERVÍVEL;327;327;"NO BREAK . - DESCRICAO: 1450VA. COR PRETA. - MARCA: RCG - MODELO: ENERGETIC POWER MC
"
;474;00009841;INSERVÍVEL;300;300;"FORNO MICROONDAS - DESCRICAO: CAPACIDADE DE 31L. 127V. COR BRANCA. - MARCA: ELECTROLUX - MODELO: MEF41 - SERIE: 32210520
"
;475;00009843;INSERVÍVEL;300;300;"FORNO MICROONDAS - DESCRICAO: CAPACIDADE DE 31L. 127V. COR BRANCA. - MARCA: ELECTROLUX - MODELO: MEF41 - SERIE: 32208101
"
;476;00009854;INSERVÍVEL;1661,45;926,31;"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 18 MIL BTU'S. TENSÃO 220V. COR BRANCA. U. EXT.: MG3687488. - MARCA: CONSUL - MODELO: CBV18CB - SERIE: MG3709303
"
;477;00009860;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;478;00009862;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;479;00009864;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;480;00009870;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;481;00009875;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;482;00009886;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;483;00009888;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;484;00009893;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;485;00009899;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;486;00009901;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;487;00009907;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;488;00009908;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;489;00009927;INSERVÍVEL;2089;2089;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE I3 -3240 (3.4GHZ, 3MB CACHE), 4GB DE MEMÓRIA RAM, DISCO RÍGIDO DE 320GB. - MARCA: DELL - MODELO: OPTIPLEX 9010 - SERIE: 2VB90Y1
"
;490;00009948;INSERVÍVEL;140;140;"APARELHO TELEFONICO SEM FIO - MARCA: GIGASET - MODELO: A390 - SERIE: 118042
"
;491;00009950;INSERVÍVEL;140;140;"APARELHO TELEFONICO SEM FIO - MARCA: GIGASET - MODELO: A390 - SERIE: 118041
"
;492;00009951;INSERVÍVEL;140;140;"APARELHO TELEFONICO SEM FIO - MARCA: GIGASET - MODELO: A390 - SERIE: 118013
"
;493;00009953;INSERVÍVEL;300;300;"FORNO DE MICROONDAS - DESCRICAO: 110V. 60HZ. 31 LITROS. COR BRANCA. - MARCA: ELECTROLUX - MODELO: MEF41 - SERIE: 34108646
"
;494;00009963;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;495;00009969;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;496;00009973;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;497;00009976;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;498;00009985;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
;499;00009989;INSERVÍVEL;108;108;"CADEIRA FIXA S/BRAÇO - DESCRICAO: ESTOFADA. COR AZUL. - MARCA: NOBRE MÓVEIS
"
