,Item,Patrimônio,,Nº Antigo,,,,,Descrição,,,Garantia,Marca,,,Modelo,,Série,
,"155,",00006463,,,,,,,"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT, CAPACIDADE 12.000 BTUS.",,,29/12/2006 a 12/12/2007,SPRINGER,,,SILENTIA,,S2906B92329,
,"156,",00006464,,,,,,,"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT, CAPACIDADE 12.000 BTUS.",,,29/12/2006 a 12/12/2007,SPRINGER,,,SILENTIA,,S2906B92397,
,"157,",00006468,,,,,,,APARELHO DE FAX - DESCRICAO: - PAPEL PLANO,,,12/01/2007 a 22/06/2007,BROTHER,,,FAX-575,,B6K957759,
,"158,",00006496,,,,,,,CADEIRA FIXA EM TECIDO - DESCRICAO: NA COR AZUL MARINHO,,,,SUL BASES,,,ANATÔMICA,,,
,"159,",00006500,,,,,,,POLTRONA FIXA EM TECIDO SOBRE LONGARINA - DESCRICAO: NA COR AZUL MARINHO,,,,,,,,,,
,"160,",00006503,,,,,,,POLTRONA FIXA EM TECIDO SOBRE LONGARINA - DESCRICAO: NA COR AZUL MARINHO,,,,,,,,,,
,"161,",00006536,,,,,,,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS,,,13/03/2007 a 13/03/2008,AOC,,,,,T7P71904926,
,"162,",00006541,,,,,,,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS,,,13/03/2007 a 13/03/2008,AOC,,,,,T7CP71A902516,
,"163,",00006545,,,,,,,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS,,,13/03/2007 a 13/03/2008,AOC,,,LM722,,T7CP71A904800,
,"164,",00006548,,,,,,,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS,,,13/03/2007 a 13/03/2008,AOC,,,LM722,,T7CP71A904641,
,"165,",00006550,,,,,,,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS,,,13/03/2007 a 13/03/2008,AOC,,,LM722,,T7CP71A902841,
,"166,",00006551,,,,,,,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS,,,13/03/2007 a 13/03/2008,AOC,,,LM722,,T7CP71A904492,
,"167,",00006576,,,,,,,NO BREAK . - DESCRICAO: 3KVA/ 1.8 KW PARA RACK 19,,,16/04/2007 a 16/04/2008,APC,,,SURTA 3000XL,,JS0646014603,
,"168,",00006579,,,,,,,NO BREAK . - DESCRICAO: 3KVA/ 1.8 KW PARA RACK 19,,,16/04/2007 a 16/04/2008,APC,,,SURTA 3000XL,,JS0646014605,
,"169,",00006581,,,,,,,RECEPTOR DE MICROFONE - DESCRICAO: SISTEMA WIRELESS MICROPHONE SYSTEM,,,04/06/2007 a 30/11/2007,KARSECT,,,KRU-302,,KRU302070306577,
,"170,",00006583,,,,,,,CAIXA ACUSTICA - DESCRICAO: DE 75 W.,,,07/05/2007 a 03/05/2008,FRAHM,,,PS 500,,,
,"171,",00006584,,,,,,,CAIXA ACUSTICA - DESCRICAO: DE 75 W.,,,07/05/2007 a 03/05/2008,FRAHM,,,PS 500,,,
,"172,",00006595,,,,,,,ESTAÇÃO DE TRABALHO C/ UM MÓDULO - TIPO SECRETÁRIO - DESCRICAO: MEDINDO 135 X 135 X 060 X 060 X 074CM,,,20/05/2007 a 16/02/2008,MOBRAN,,,SECRETÁRIO,,,
,"173,",00006652,,,,,,,"ARMARIO ALTO - C/ DUAS PORTAS DE CORRER - DESCRICAO: MEDINDO 090CM DE LARG., 050CM DE PROF. E 163CM DE ALTURA",,,20/05/2007 a 16/02/2008,MOBRAN,,,PADRÃO,,,
,"174,",00006810,,,,,,,MICROFONE SEM FIO - DESCRICAO: SISTEMA WIRELESS MICROPHONE SYSTEM,,,04/06/2007 a 30/11/2007,KARSECT,,,KST-5U,,KST5U070306577/1,
,"175,",00006811,,,,,,,MICROFONE SEM FIO - DESCRICAO: SISTEMA WIRELESS MICROPHONE SYSTEM,,,04/06/2007 a 30/11/2007,KARSECT,,,KST-5U,,KST5U070306577/2,
,"176,",00006814,,,,,,,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 7.2 MEGA PIXELS, COM ZOOM ÓPTICO 3X E MONITOR DE LCD DE 2.0",,,22/06/2007 a 19/06/2008,SONY,,,CYBER-SHOT DSC-S650,,S01-0248275-E,
,"177,",00006815,,,,,,,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 7.2 MEGA PIXELS, COM ZOOM ÓPTICO 3X E MONITOR DE LCD DE 2.0",,,22/06/2007 a 19/06/2008,SONY,,,CYBER-SHOT DSC-S650,,S01-024874-E,
,"178,",00006834,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 21.000 BETUS,,,09/07/2007 a 02/07/2008,GREE,,,GJ21,,143347000894,
,"179,",00006837,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 21.000 BETUS,,,09/07/2007 a 02/07/2008,GREE,,,GJ21,,1433460002395,
,"180,",00006844,,,,,,,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: DE 30.000 BTÚS. CONDENSADORA    SÉRIE-471965,,,17/08/2007 a 17/08/2008,HITACHI,,,SPLIT,,150013,
,"181,",00006851,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS,,,,,,,,,,
,"182,",00006852,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS,,,,,,,,,,
,"183,",00006854,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS,,,,,,,,,,
,"184,",00006855,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS,,,,,,,,,,
,"185,",00006856,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS,,,,,,,,,,
,"186,",00006857,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS,,,,,,,,,,
,"187,",00006858,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS,,,,,,,,,,
,"188,",00006967,,,,,,,"CINZEIRO LIXEIRA - DESCRICAO: INOX MEDINDO 0,30 CM DIAMETRO X 0,70 CM ALTURA .",,,,MITRA,,,,,,
,"189,",00006968,,,,,,,"CINZEIRO LIXEIRA - DESCRICAO: INOX MEDINDO 0,30 CM DIAMETRO X 0,70 CM ALTURA .",,,,MITRA,,,,,,
,"190,",00006976,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: PARA SUPORTE DE URNAS ELETRÔNICAS,,,,,,,,,,
,"191,",00006979,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: PARA SUPORTE DE URNAS ELETRÔNICAS,,,,,,,,,,
,"192,",00006984,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: PARA SUPORTE DE URNAS ELETRÔNICAS,,,,,,,,,,
,"193,",00007044,,,,,,,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - DESCRICAO: SEM FIO 2.4 GHZ,,,15/04/2008 a 14/04/2009,PLANTRONICS,,,CT 12,,74052541,
,"194,",00007045,,,,,,,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - DESCRICAO: SEM FIO 2.4 GHZ,,,15/04/2008 a 14/04/2009,PLANTRONICS,,,CT 12,,74052987,
,"195,",00007046,,,,,,,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - DESCRICAO: SEM FIO 2.4 GHZ,,,15/04/2008 a 14/04/2009,PLANTRONICS,,,CT 12,,74054438,
,"196,",00007052,,,,,,,APARELHO DE FAX - DESCRICAO: PAPEL A4,,,,BROTHER,,,FAX-575,,U61361L7K900370,
,"197,",00007053,,,,,,,DVD PLAYER - DESCRICAO: COM CONTROLE,,,,CCE,,,700USX,,JMC3688FGTNI00GBA,
,"198,",00007073,,,,,,,MESA DIGITAL - DESCRICAO: DE 6X8,,,15/05/2008 a 15/05/2008,WACUM,,,GTE-650,,71P000714,
,"199,",00007079,,,,,,,"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTU´S, TENSÃO 220 V",,,30/05/2008 a 30/05/2008,GREE,,,,,1433460002386,
,"200,",00007097,,,,,,,PROJETOR MULTIMIDIA - DESCRICAO: RESOLUÇÃO NATIVA XGA (1024 X 768),,,20/06/2008 a 16/06/2009,EPSON,,,EMP-X5,,JX8F822302L,
,"201,",00007102,,,,,,,SCANNER DE MESA - DESCRICAO: FOTOGRÁFICO SCANJET,,,25/06/2008 a 20/06/2009,HP,,,G2710,,CN82PA52RW,
,"202,",00007103,,,,,,,SCANNER DE MESA - DESCRICAO: FOTOGRÁFICO SCANJET,,,25/06/2008 a 20/06/2009,HP,,,G2710,,CN82RA53SY,
,"203,",00007115,,,,,,,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE,,,15/07/2008 a 09/07/2010,MELCOM,,,ST-P101A,,2007048812,
,"204,",00007160,,,,,,,MODEM . - DESCRICAO: EXTERNO 56K,,,31/07/2008 a 11/03/2011,TRELLIS,,,M56K,,773559-8,
,"205,",00007185,,,,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: TIPO DIRETOR, COM BRAÇOS, ESPALDAR MÉDIO",,,30/07/2008 a 24/07/2009,,,,,,,
,"206,",00007187,,,,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA",,,30/07/2008 a 24/07/2009,,,,,,,
,"207,",00007191,,,,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA",,,30/07/2008 a 24/07/2009,,,,,,,
,"208,",00007192,,,,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA",,,30/07/2008 a 24/07/2009,,,,,,,
,"209,",00007194,,,,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA",,,30/07/2008 a 24/07/2009,,,,,,,
,"210,",00007215,,,,,,,ARMÁRIO ALTO EXECUTIVO  - C/ DUAS PORTAS DE CORRER - DESCRICAO: MEDINDO 90X50X163,,,30/08/2008 a 04/08/2009,ADATTARE,,,ADATTARE,,,
,"211,",00007246,,,,,,,BALCAO DE ATENDIMENTO - EM MDF SOB MEDIDA - DESCRICAO: BALCÃO DE ATENDIMENTO,,,15/08/2008 a 15/08/2009,MOBILE,,,MOBILE,,,
,"212,",00007248,,,,,,,SUPORTE SUPORTE PARA CPU - DESCRICAO: SUPORTE PARA CPU,,,15/08/2008 a 15/08/2009,MOBILE,,,MOBILE,,,
,"213,",00007249,,,,,,,SUPORTE SUPORTE PARA CPU - DESCRICAO: SUPORTE PARA CPU,,,15/08/2008 a 15/08/2009,MOBILE,,,MOBILE,,,
,"214,",00007265,,,,,,,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 30.000 BTUS,,,30/08/2008 a 05/08/2009,ELECTROLUX,,,,,80614403,
,"215,",00007272,,,,,,,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" .",,,10/09/2008 a 10/09/2009,SAMSUNG,,,S860,,A07DC90Q703666D,
,"216,",00007273,,,,,,,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" .",,,10/09/2008 a 10/09/2009,SAMSUNG,,,S860,,A08AC90Q709728T,
,"217,",00007275,,,,,,,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" .",,,10/09/2008 a 10/09/2009,SAMSUNG,,,S860,,A08AC90Q707618R,
,"218,",00007277,,,,,,,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" .",,,10/09/2008 a 10/09/2009,SAMSUNG,,,S860,,A07DC90Q703386E,
,"219,",00007279,,,,,,,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" .",,,10/09/2008 a 10/09/2009,SAMSUNG,,,S860,,A08AC90Q709696L,
,"220,",00007296,,,,,,,"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: MINI-CENTRAL DE AR CONDICIONADO SPLIT, 12.000 BTUS KOS 12 FC-G2B",,,27/02/2008 a 11/01/2009,KOMECO,,,SPLIT,,C101001240907A121206,
,"221,",00007346,,,,,,,NO BREAK . - DESCRICAO: 1.4 KVA.,,,13/10/2008 a 10/10/2009,SMS,,,NET4+,,272510008730,
,"222,",00007393,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB.",,,18/09/2008 a 15/09/2008,LENOVO,,,THINKCENTRE M57P,,L1AK2RD,
,"223,",00007394,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB.",,,18/09/2008 a 15/09/2008,LENOVO,,,THINKCENTRE M57P,,L1AK0YT,
,"224,",00007399,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB.",,,18/09/2008 a 15/09/2008,LENOVO,,,THINKCENTRE M57P,,L1AK0ZH,
,"225,",00007402,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB.",,,18/09/2008 a 15/09/2008,LENOVO,,,THINKCENTRE M57P,,L1AK3GB,
,"226,",00007420,,,,,,,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: SVGA, 17 POLEGADAS.",,,07/10/2008 a 01/10/2009,AOC,,,718SWAG-1,,K3085CA002890,
,"227,",00007429,,,,,,,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: SVGA, 17 POLEGADAS.",,,07/10/2008 a 01/10/2009,AOC,,,177SA-1,,98676CA000010,
,"228,",00007433,,,,,,,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: SVGA, 17 POLEGADAS.",,,07/10/2008 a 01/10/2009,AOC,,,177SA-1,,98676CA001657,
,"229,",00007454,,,,,,,CALCULADORA  ELETRONICA - DESCRICAO: DE MESA COM VISOR E IMPRESSORA.,,,07/10/2008 a 07/10/2009,ELGIN,,,,,8000362,
,"230,",00007488,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO, 2GB RAM, HD 160 GB, DVD/RW.",,,30/10/2008 a 13/10/2009,LENOVO,,,6073BA4,,L1AC2ZF,
,"231,",00007504,,,,,,,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS.,,,30/10/2008 a 13/10/2009,LENOVO,,,4428-AB1,,VF 51178,
,"232,",00007505,,,,,,,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS.,,,30/10/2008 a 13/10/2009,LENOVO,,,4428-AB1,,VF 51245,
,"233,",00007558,,,,,,,UNIDADE DE BACKUP - DESCRICAO: LTO.,,,06/11/2008 a 31/10/2008,HP,,,,,,
,"234,",00007569,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E8400 (3.0 GHZ), 2GB RAM, HD 160 GB, DVD/RW",,,22/12/2008 a 19/12/2009,LENOVO,,,THINKCENTRE M57P,,L1AN8VN,
,"235,",00007573,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E8400 (3.0 GHZ), 2GB RAM, HD 160 GB, DVD/RW",,,22/12/2008 a 19/12/2009,LENOVO,,,THINKCENTRE M57P,,L1AN8VK,
,"236,",00007577,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E8400 (3.0 GHZ), 2GB RAM, HD 160 GB, DVD/RW",,,22/12/2008 a 19/12/2009,LENOVO,,,THINKCENTRE M57P,,L1AN8VL,
,"237,",00007598,,,,,,,APARELHO DE FAX,,,13/03/2009 a 13/03/2010,BROTHER,,,FAX-575,,L7K900469,
,"238,",00007622,,,,,,,DESUMIDIFICADOR DE PAPEL - DESCRICAO: CAPACIDADE 1500 FLS.,,,08/06/2009 a 05/11/2009,MENNO,,,,,,
,"239,",00007657,,,,,,,"SISTEMA DE MICROFONES SEM FIO - DESCRICAO: DUPLO, CONTENDO: 01 RECEPTOR (S/N 255080901417) E 02 MICROFONES DE MÃO.",,,17/06/2009 a 17/06/2010,SKP PRO AUDIO,,,UHF 255,,255080901417,
,"240,",00007714,,,,,,,"LAVADORA  DE ALTA PRESSÃO - DESCRICAO: POTÊNCIA: 1600 W, VAZÃO: 360 L/H.",,,26/10/2009 a 26/10/2010,MOTOMIL,,,LM-1600,,10752,
,"241,",00007808,,,,,,,"MOTO BOMBA CENTRIFUGA - DESCRICAO: 1/2CV, MONOFÁSICA, 60HZ.",,,17/11/2009 a 17/11/2010,SCHNEIDER,,,BC-98SC,,6308142771028,
,"242,",00007809,,,,,,,"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 12.000 BTUS, 220 V.",,,24/11/2009 a 24/11/2010,SPRINGER,,,MINIMAXI,,S4009B55143,
,"243,",00007810,,,,,,,"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 12.000 BTUS, 220 V.",,,24/11/2009 a 24/11/2010,SPRINGER,,,MINIMAXI,,S4009B55039,
,"244,",00007828,,,,,,,BEBEDOURO DE AGUA EM AÇO INOX. - DESCRICAO: TIPO COLUNA.,,,,ESMALTEC,,,EGC35B,,12051406763645,
,"245,",00007843,,,,,,,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA,,,20/01/2010 a 19/01/2013,HP,,,LASERJET P2055DN,,BRBH9BJ5LO,
,"246,",00007844,,,,,,,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA,,,20/01/2010 a 19/01/2013,HP,,,LASERJET P2055DN,,BRBH9CL517,
,"247,",00007845,,,,,,,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA,,,20/01/2010 a 19/01/2013,HP,,,LASERJET P2055DN,,BRBH9CL5Q9,
,"248,",00007846,,,,,,,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA,,,20/01/2010 a 19/01/2013,HP,,,LASERJET P2055DN,,BRBH9CM52Y,
,"249,",00007850,,,,,,,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA,,,20/01/2010 a 19/01/2013,HP,,,LASERJET P2055DN,,BRBH9CD51K,
,"250,",00007852,,,,,,,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA,,,20/01/2010 a 19/01/2013,HP,,,LASERJET P2055DN,,BRBH9CL511,
,"251,",00007853,,,,,,,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA,,,20/01/2010 a 19/01/2013,HP,,,LASERJET P2055DN,,BRBH9CM533,
,"252,",00007854,,,,,,,IMPRESSORA MATRICIAL,,,20/01/2010 a 11/01/2010,EPSON,,,LQ-590,,FSQY143926,
,"253,",00007856,,,,,,,IMPRESSORA MATRICIAL,,,20/01/2010 a 11/01/2010,EPSON,,,LQ-590,,FSQY143913,
,"254,",00007865,,,,,,,"FRAGMENTADORA DE PAPEL - DESCRICAO: FRAGMENTADORA DE PAPEL MARCA EBA, MODELO 5140S.",,,,EBA,,,5140S,,,
,"255,",00007869,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH527,
,"256,",00007870,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH52W,
,"257,",00007871,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH530,
,"258,",00007872,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH5HJ,
,"259,",00007873,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH52M,
,"260,",00007874,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH52N,
,"261,",00007878,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH528,
,"262,",00007879,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH5B9,
,"263,",00007880,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH52T,
,"264,",00007882,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH52X,
,"265,",00007886,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH52B,
,"266,",00007887,,,,,,,IMPRESSORA LASERJET,,,,HP,,,LASERJET P2055DN,,BRBH9DH52P,
,"267,",00007904,,,,,,,"FOGAO TIPO RESIDENCIAL - DESCRICAO: 04 (QUATRO) BOCAS, FORNO AUTOLIMPANTE.",,,,,,,,,,
,"268,",00007930,,,,,,,IMPRESSORA MATRICIAL,,,,EPSON,,,LQ-590,,FSQY152015,
,"269,",00007932,,,,,,,PAINEL ELETRONICO - DESCRICAO: DE SENHAS.,,,,,,,,,PS003-0225/V2,
,"270,",00007942,,,,,,,"CARRO TUBULAR PARA TRANSPORTE DE MATERIAL, 2 RODAS",,,,,,,,,,
,"271,",00008054,,,,,,,APARELHO TELEFONICO SEM FIO - DESCRICAO: TELEFONE SEM FIO [HANDSET].,,,,OREGON,,,OS6014,,0028521411,
,"272,",00008059,,,,,,,APARELHO TELEFONICO SEM FIO - DESCRICAO: TELEFONE SEM FIO [HANDSET].,,,,OREGON,,,OS6014,,0028521416,
,"273,",00008084,,,,,,,NO BREAK . - DESCRICAO: NO BREAK SMS MODELO NETWINNER 1300BI.,,,,SMS,,,NW 1300BI,,,
,"274,",00008092,,,,,,,MONITOR KVM 17 POLEGADAS COM TECLADO,,,,BLACK BOX,,,,,,
,"275,",00008111,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA.",,,,,,,,,,
,"276,",00008113,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA.",,,,,,,,,,
,"277,",00008114,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA.",,,,,,,,,,
,"278,",00008117,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA.",,,,,,,,,,
,"279,",00008121,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA.",,,,,,,,,,
,"280,",00008151,,,,,,,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 22"" WIDESCREEN",,,,LENOVO,,,THINKVISION L2250P,,V6-E8944,
,"281,",00008186,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW.",,,21/08/2010 a 21/08/2013,LENOVO,,,THINKCENTRE M58,,L1BMRDO,
,"282,",00008192,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW.",,,21/08/2010 a 21/08/2013,LENOVO,,,THINKCENTRE M58,,L1BMRCL,
,"283,",00008195,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW.",,,21/08/2010 a 21/08/2013,LENOVO,,,THINKCENTRE M58,,L1BMRA2,
,"284,",00008201,,,,,,,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW.",,,21/08/2010 a 21/08/2013,LENOVO,,,THINKCENTRE M58,,L1BMR9Z,
,"285,",00008344,,,,,,,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.",,,,SIEMENS,,,GIGASET C385,,0166F2F800,
,"286,",00008347,,,,,,,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.",,,,SIEMENS,,,GIGASET C385,,0166F2F260,
,"287,",00008350,,,,,,,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.",,,,SIEMENS,,,GIGASET C385,,01666CEFC0,
,"288,",00008351,,,,,,,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.",,,,SIEMENS,,,GIGASET C385,,0166F1EE60,
,"289,",00008352,,,,,,,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.",,,,SIEMENS,,,GIGASET C385,,0166F2AB00,
,"290,",00008354,,,,,,,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.",,,,SIEMENS,,,GIGASET C385,,01666DE640,
,"291,",00008369,,,,,,,CORTADOR DE GRAMA ELÉTRICO,,,,GARTHEN,,,GC-1100,,,
,"292,",00008370,,,,,,,CARRINHO DE MÃO - DESCRICAO: COM CAÇAMBA EM POLIPROPILENO.,,,,TRAMONTINA,,,,,,
,"293,",00008389,,,,,,,NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW,,,,DATEN,,,DT02 M5,,00250658,
,"294,",00008391,,,,,,,NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW,,,,DATEN,,,DT02 M5,,00250776,
,"295,",00008393,,,,,,,NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW,,,,DATEN,,,DT02 M5,,00250711,
